date,open(ĸ),high(ĸ),low(ĸ),close(ĸ),amount(ĸ),vol(ĸ),open(A),high(A),low(A),close(A),amount(A),vol(A),open(B),high(B),low(B),close(B),amount(B),vol(B)
[20150803],[ 6.98000002],[ 7.26999998],[ 6.92000008],[ 7.19999981],[ 1716321.],[2423414],[ 9.18999958],[ 9.27999973],[ 9.13000011],[ 9.25],[ 1903751.],[2064900],[ 5.0999999],[ 5.28999996],[ 4.75],[ 5.25],[ 1190787.],[2367700]
[20150804],[ 7.07999992],[ 7.55999994],[ 7.07999992],[ 7.55000019],[ 1144350.],[1561813],[ 9.23999977],[ 9.27999973],[ 9.05000019],[ 9.17000008],[ 1728149.],[1887650],[ 5.05000019],[ 5.76999998],[ 5.01000023],[ 5.71000004],[ 1450151.],[2676061]
[20150805],[ 7.44999981],[ 7.48999977],[ 7.30999994],[ 7.32000017],[ 1167287.],[1585100],[ 9.14000034],[ 9.17000008],[ 9.06999969],[ 9.14999962],[ 1998501.],[2183517],[ 5.71000004],[ 5.86000013],[ 5.46000004],[ 5.5],[ 1524334.],[2706139]
[20150806],[ 7.11999989],[ 7.5],[ 7.11000013],[ 7.23000002],[ 649489.],[891414],[ 9.18000031],[ 9.22000027],[ 9.14999962],[ 9.18000031],[ 1199044.],[1306517],[ 5.03000021],[ 5.57000017],[ 5.],[ 5.32999992],[ 577863.],[1077200]
[20150807],[ 7.32000017],[ 7.38999987],[ 7.23999977],[ 7.36000013],[ 410470.],[560700],[ 9.17000008],[ 9.18999958],[ 9.11999989],[ 9.17000008],[ 1071709.],[1169800],[ 5.38999987],[ 5.57999992],[ 5.23000002],[ 5.51000023],[ 825640.],[1499850]
[20150810],[ 7.3499999],[ 7.69999981],[ 7.3499999],[ 7.67000008],[ 1814002.],[2394974],[ 9.14000034],[ 9.15999985],[ 9.],[ 9.],[ 1883312.],[2064844],[ 5.57999992],[ 6.05999994],[ 5.51999998],[ 6.05999994],[ 2242860.],[3806350]
[20150811],[ 7.67000008],[ 7.67000008],[ 7.53000021],[ 7.57999992],[ 1150413.],[1512300],[ 9.],[ 9.05000019],[ 9.],[ 9.03999996],[ 1149519.],[1275861],[ 6.0999999],[ 6.4000001],[ 6.0999999],[ 6.15999985],[ 1982425.],[3194299]
[20150812],[ 7.55999994],[ 7.63000011],[ 7.48000002],[ 7.48000002],[ 745243.],[989623],[ 9.],[ 9.07999992],[ 9.],[ 9.03999996],[ 1321608.],[1462250],[ 5.92999983],[ 6.19000006],[ 5.9000001],[ 5.92999983],[ 1049257.],[1748800]
[20150813],[ 7.44000006],[ 7.5999999],[ 7.42999983],[ 7.59000015],[ 539369.],[716990],[ 9.05000019],[ 9.10999966],[ 9.05000019],[ 9.05000019],[ 1383026.],[1522000],[ 5.92999983],[ 6.05000019],[ 5.80000019],[ 6.],[ 1197590.],[2022383]
[20150814],[ 7.53999996],[ 7.71000004],[ 7.53000021],[ 7.53999996],[ 247236.],[326200],[ 9.01000023],[ 9.09000015],[ 9.01000023],[ 9.06000042],[ 429012.],[473100],[ 6.21999979],[ 6.34000015],[ 5.94000006],[ 6.],[ 949789.],[1566700]
